peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
17696680300.610535,2036,311657090336.07837,2045.0,50_percent_of_peak,55,10064105390.391647,16812761549.016874,8599601628.9623,5274551772.905301,3137313366.6248283,342439398.94355094,273134507285.4192
35278313329.578606,2035,524307521251.8934,2044.0,50_percent_of_peak,56,20921455997.187077,35278313329.578606,13819107728.34872,5307287020.080858,178518951.08475965,196582476.7723753,508613848911.3157
24097412759.244175,2039,480024828057.8784,2051.0,50_percent_of_peak,57,9464176791.169245,19087829321.914444,19330294403.065506,12717926833.812578,6912281276.278437,300587159.125015,405213795236.8005
14572701821.733593,2039,247124698253.28842,2046.0,50_percent_of_peak,58,7958328118.512674,13302552953.494633,7432947493.189388,1060974377.4820739,503118314.2349089,586668810.6619623,223302463825.4219
12574327502.27282,2039,216042824585.7702,2048.0,50_percent_of_peak,59,5407808986.313805,10382642026.573498,8594102199.51692,3354898053.194322,400160327.91865,304829807.19776237,199085765497.9157
8755337155.928902,2035,139912068462.82974,2042.0,50_percent_of_peak,60,6155946393.8105345,8755337155.928902,2811490255.1935167,1130828502.988267,267867296.14945686,452029949.8717468,122487428354.8524
13620256197.140263,2038,210898791927.43527,2045.0,50_percent_of_peak,61,7585694294.427813,12624183220.959589,6241337351.734331,173985521.62595975,165492910.93808565,222273128.46432367,202094291699.22656
4520107357.437687,2038,94791413603.8635,2050.0,50_percent_of_peak,62,2827429532.594327,4082498447.067221,2646394608.931289,2194865523.0968904,1547605572.927882,163023692.100012,76950905005.49954
8418586087.571295,2039,155050964727.40982,2048.0,50_percent_of_peak,63,4055166766.56449,7075680965.252191,5720320694.615043,3012056962.551499,762278577.0557442,246931756.26401827,137801867658.3987
6326522487.60262,2034,90312895190.25221,2041.0,50_percent_of_peak,64,4455821365.575496,6167105799.811488,1296814373.2799706,164938410.45472598,179752514.488914,282726418.7183462,79609607895.36986
13107115235.488607,2035,185641151133.51935,2042.0,50_percent_of_peak,65,8375425505.336496,13107115235.488607,3498744007.0029664,213610485.21474412,219998087.81377822,330536729.60918665,173041360014.28976
6807231813.28468,2039,122504066341.40276,2046.0,50_percent_of_peak,66,4488580864.387933,6416370636.80357,3733766548.239539,1419084676.72408,101892821.33105856,164823038.6905548,114906869641.03487
18139191059.364384,2040,303949113732.21466,2047.0,50_percent_of_peak,67,9251381302.22203,15890114983.225315,11655230893.904993,4091267637.8587704,123817800.39031607,135717193.02659273,294007931880.07715
29274993751.602234,2037,507176221520.91064,2047.0,50_percent_of_peak,68,14837254656.147789,26286942273.51264,16731150772.78373,9005601898.561728,3960633623.274106,276745937.0727644,462086848448.7919
5587260661.415724,2037,104276083016.47273,2046.0,50_percent_of_peak,69,3437299985.5024934,5196358225.435806,2797398993.526724,1955028955.6701818,925379719.6853399,220620334.7933966,89070227890.51147
21953551480.58474,2036,385032966039.6998,2046.0,50_percent_of_peak,70,11914405741.313148,21512798268.914124,11281324989.033026,6663450015.719267,3958183503.8570385,145454660.52424797,340551752839.04034
6276604688.308525,2036,91335937083.59889,2043.0,50_percent_of_peak,71,4029334567.6214952,6117529280.792296,1724170159.7711415,127575012.69350074,131007780.04437062,178790489.57551605,84401064669.36613
11379467713.92193,2040,203078044485.96188,2047.0,50_percent_of_peak,72,6469359666.403653,10229212403.146818,6950442496.935712,2934724528.582931,182770778.08280265,236509636.84977508,188411736439.53732
6072941941.189227,2036,93210787465.7191,2043.0,50_percent_of_peak,73,3961969045.326712,5871964467.202965,2210699165.6994467,955713942.103656,69402150.77931246,90786197.52806073,88445019619.48203
11372323130.419697,2035,204094939454.33298,2045.0,50_percent_of_peak,74,6875261209.068242,11372323130.419697,5560812893.682657,3827008838.7485347,2524568035.844339,138149433.4796054,177384375216.71838
27792570163.087624,2036,495315262061.82294,2046.0,50_percent_of_peak,75,15603791827.850601,27767227159.696136,14803797503.82863,8935301914.2343,4651962271.641988,407183375.45252484,440733098320.1323
17071577746.60942,2038,296172664710.3956,2047.0,50_percent_of_peak,76,7974174048.49694,14956421663.262854,10685071364.985596,5368083970.819414,961599231.7609909,305634055.04673946,271465037346.32846
21428615107.953125,2038,455648339602.6748,2050.0,50_percent_of_peak,77,9532863231.645773,18931069232.14174,15314866258.787592,10356231790.051804,6896559527.13171,265842694.1067684,359374766983.9554
16966603160.765528,2038,261643213479.36096,2045.0,50_percent_of_peak,78,9476187320.346197,15769997827.828127,7716278680.01417,248448181.5914397,200321106.01353747,209538392.71402687,252847598604.7721
28747169041.796448,2036,459639052680.23083,2045.0,50_percent_of_peak,79,16121348220.716793,28283412092.828735,13642361642.275875,6313226489.976699,251504711.98831365,332911777.52035457,435027718438.3554
