peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
1136249148.5674727,2092,56423790166.989075,,50_percent_of_peak,49,575448727.6588141,1035886479.6927947,756607640.296492,649173683.8208325,639193071.7758381,977636118.1501085,18922573263.778725
1523591896.7116604,2037,61715532241.69997,2050.0,50_percent_of_peak,50,776965771.9842198,1401305005.8330166,977074178.5227318,739980077.2979254,661099210.5335431,931946847.1273297,25406558627.560276
1009520154.8428332,2092,40308740428.14284,,50_percent_of_peak,51,225058407.12454423,366011682.70990825,342026004.1849494,398641115.5282495,483229890.47676474,875782773.6275976,7786899484.449728
606141556.0732342,2090,30881867526.108086,,50_percent_of_peak,52,245192709.56208125,441362153.95909476,514046073.66326255,416719659.127235,379263131.54000914,523519232.6627211,10303971758.819078
648591839.7917787,2037,31067429173.58565,,50_percent_of_peak,53,319752517.9356133,586429512.2618498,483115305.82041925,391968734.37438154,358353451.1802351,499660889.29474854,11434552436.340446
1772645690.543842,2092,66379909017.572624,,50_percent_of_peak,54,356292895.14242834,585659981.4746201,533491624.1130794,617256409.3226665,755474041.2544463,1457901227.9270558,12288282251.267906
1839814634.613854,2038,94866400774.47705,,50_percent_of_peak,55,808398361.0894552,1602998150.6984537,1494265799.809424,1258697585.639979,1167093199.2619274,1580743945.5934765,32800005052.992416
1157656542.3138628,2092,57084192540.076744,,50_percent_of_peak,56,562077762.6023775,993925843.0927546,678840706.1853807,619749271.5649972,653127607.0708826,1046264826.0069736,17658405382.678043
740603237.405337,2092,35175144577.82421,,50_percent_of_peak,57,321756286.41770756,542177660.6557698,408727406.1168445,379541893.55060065,405790705.81604373,657754604.1669996,10335812732.052576
915167854.0157645,2035,45035667033.85182,,50_percent_of_peak,58,571012894.8004321,915167854.0157645,513223800.73500943,472044946.53513235,504053619.7306834,795279301.209856,15170633043.597643
744334622.9449245,2086,33454012341.62456,,50_percent_of_peak,59,311267194.8480006,461988718.41157955,298336869.45976216,329102082.3235711,391465645.97429234,672330616.4862534,8439159441.260216
1132537419.6084273,2092,57349709050.07774,,50_percent_of_peak,60,412579754.5837425,804266374.7761478,973202580.3991556,812919670.0138413,733612566.0636451,961098624.9538537,19028122375.784927
1340175162.8575728,2092,66605553496.2443,,50_percent_of_peak,61,419116555.9558966,865904029.7996854,1047167075.7197797,942719305.9070638,891470136.5833474,1162360846.7470949,20372336884.405712
788831452.8920809,2092,32573803348.670887,,50_percent_of_peak,62,215048819.08146793,331690516.7618045,314051508.1940522,318448856.7157339,373499589.5612412,675178147.9840077,7361616014.662553
1102829887.292373,2092,45424560704.59112,,50_percent_of_peak,63,391986349.87692964,499239830.4842193,369931123.5306232,440167014.4008733,533796831.0282504,965373588.7865934,9767595914.268255
1357555449.3005524,2092,65361284224.72676,,50_percent_of_peak,64,396896748.2803137,766032899.3007038,1109026953.6344287,971704176.2341241,884912767.5916916,1126426246.5830133,19880229071.335648
846879854.1064991,2038,39149344582.714226,,50_percent_of_peak,65,394368858.0634444,725712190.5242769,643023517.7856226,515747849.3141343,469328821.2236913,620526204.2908688,14758622497.939013
1033480587.5926352,2092,38876995803.285484,,50_percent_of_peak,66,187995947.38385245,276661447.36001337,301046845.30514175,369587292.82135427,460800840.42067,866356327.3391501,6654351107.655372
1117974589.1486974,2092,55246595600.29746,,50_percent_of_peak,67,462904184.47132874,896508523.0519595,763424744.932204,676279105.9975102,665893791.2835791,982795728.8019489,17411643456.176937
1051459269.1003376,2092,42631759348.316605,,50_percent_of_peak,68,260334226.99285793,419049162.93458885,376125144.40280706,416116368.3553716,499492805.09649956,907190891.6676545,8879526545.74146
1194732306.9866886,2092,57291484303.73565,,50_percent_of_peak,69,363727007.45952106,709817170.0479865,814544556.8348894,749342099.0484928,740967741.6102291,1051910011.724411,16369418050.888794
613172605.8118223,2037,31061103551.41088,,50_percent_of_peak,70,321704163.8829662,565124940.63755,423307686.81184757,355910318.9782134,349153470.57993364,532487236.89817786,10641823670.959736
1261103791.1872015,2039,55174739114.136116,,50_percent_of_peak,71,544422228.7067219,1051300496.3031754,1016294839.997927,805740397.1850469,692320390.5010986,814706836.4676512,22098344146.14183
1539347044.7896712,2039,73303904001.56519,,50_percent_of_peak,72,623662585.3210342,1249170691.4512086,1314955965.3691452,1092388375.0256948,975427393.9359059,1140929934.7716637,27317432687.82649
731533868.4742599,2092,31334182274.104927,,50_percent_of_peak,73,242953157.09179556,376832523.1026352,287580641.9045348,319432226.9615178,374928705.95206565,646603955.1896515,7207895383.894575
916230558.2288837,2092,48500056656.50015,,50_percent_of_peak,74,475944642.22828776,893531784.3574127,701787612.3454553,608753250.2951769,585489729.590415,820841660.5523705,16683249228.491806
786268977.4300793,2088,35862000512.05153,,50_percent_of_peak,75,210443600.3556653,393605245.8410373,463989035.1641324,437298322.27966046,452003981.40983856,693906101.7949736,9309404884.823889
1350343107.0092108,2092,56208584993.2182,,50_percent_of_peak,76,452627758.57159424,683610560.3326149,498454975.41742367,528555301.11265033,629684831.1634647,1150203631.0934863,13352200784.902496
684752180.7599635,2092,31257618929.098347,,50_percent_of_peak,77,238946127.39692825,429124073.9029894,370749223.482979,355881225.68767285,376756590.36702025,599087862.9654809,8515031275.361189
949260687.4361507,2092,41500210274.547165,,50_percent_of_peak,78,279763664.3579969,502796967.5364091,450053415.6577283,445185977.954537,491533315.981934,831714547.6887971,10285061331.630741
866065504.8154247,2086,40944111404.99514,,50_percent_of_peak,79,343935094.3513314,588060810.6959155,468016915.8730469,447975312.837709,486012154.49413365,782344562.6029477,11461746153.734451
