peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
1418411942.30819,2037,75720349535.58353,2092.0,50_percent_of_peak,29,794754125.3896085,1325679337.4560168,1030768029.2535499,993276906.8816688,1064699820.7935055,1416059641.3529277,25661715574.281063
1294740902.5193112,2078,61890587589.45487,,50_percent_of_peak,30,507850825.85661983,787611767.0889807,647547983.3052647,725309066.5990125,843956894.2678161,1276355044.146741,15850422863.924578
2998252325.3215666,2036,105634317741.5748,2048.0,50_percent_of_peak,31,1664057499.674131,2940767003.172114,1736718110.1788876,1315284755.2917402,1181278978.7158906,1514682722.4713466,49073638273.024155
1567778500.631272,2077,79913408860.7222,,50_percent_of_peak,32,758248161.531573,1245184395.0869987,1012052981.1172293,964040482.0053362,1049026372.7599154,1558131826.0596259,24978956848.755867
4081476226.9916954,2038,197802747424.12204,2092.0,50_percent_of_peak,33,1774097601.9514716,3538175082.1120415,3434969753.8814244,3001610043.6478963,2852430878.310092,3330789510.8243313,73890523588.95241
2804864370.4213223,2039,130361814538.93193,2089.0,50_percent_of_peak,34,1285071027.4878647,2316338632.1938868,2193615944.2013288,1834625382.6442237,1776773650.3824334,2302602221.1740913,49102079438.12243
1588869605.899617,2077,79402876304.36008,,50_percent_of_peak,35,642942839.066859,1067899206.6789932,1066912956.3720192,1016843419.7825087,1082276282.594211,1582567604.1855044,23677473468.72834
2697286658.152525,2040,116907693012.09549,,50_percent_of_peak,36,1033572772.102634,2060042065.0907445,2395999785.769329,1951475513.8774087,1637302277.5149586,1692301044.8591528,47497833859.78926
3587457654.4047074,2076,169751101604.10403,2092.0,50_percent_of_peak,37,1261267682.2316566,2309495298.164849,2052238169.8778496,2140490793.5615275,2406141267.3101573,3579441460.167783,46274586323.661194
1159997366.0164227,2037,51984346141.084465,2080.0,50_percent_of_peak,38,669974769.838337,1092040039.102531,876987127.6112694,901857366.788677,985148789.2389601,881620963.3951558,21525072408.152946
6629491232.7131815,2092,290595644198.4598,,50_percent_of_peak,39,2096458636.058879,3967115054.4827113,3355393685.168415,3190808842.394272,3374607575.626381,5683940207.368845,76775714070.79002
