Year,ATS Total Power (kWh),ATS Emissions (kg CO2),EV Fraction,Clean Energy Fraction,outer_draw_id,inner_draw_id
2045,5156480035.804623,6200267003.140917,0.10972052660274466,1.0,30,13
2046,4818125806.10586,5657609880.116988,0.11638186308120346,1.0,30,13
2047,4725400553.097491,5420317755.7993145,0.12344762164049955,1.0,30,13
2048,4368557745.409032,4936538010.175013,0.13094235549454095,1.0,30,13
2049,4064827528.138375,4340556252.9259,0.13889210852834827,1.0,30,13
2050,4059983402.5759077,4195583994.13825,0.14732450579946016,1.0,30,13
2051,3792461449.23273,3909070429.9996667,0.15626884953384682,1.0,30,13
2052,3689585050.0312805,3764990790.4054055,0.1657562209499129,1.0,30,13
2053,3762590796.1442976,3638478281.1558943,0.17581958826442518,1.0,30,13
2054,3502907672.043176,3379852816.1812696,0.18649392125567904,1.0,30,13
2055,3292113300.4485016,3133219173.8909173,0.1978163127820081,1.0,30,13
2056,3430087352.0741334,3237472524.3019857,0.20982610767790724,1.0,30,13
2057,3329915719.2657714,3010892142.2776556,0.22256503947567807,1.0,30,13
2058,3339275148.9721837,3012155980.2379103,0.23607737542769922,1.0,30,13
2059,3396902560.179942,2907896989.133342,0.2504100703332668,1.0,30,13
2060,3371991406.117914,2949565042.146287,0.26561292970454775,1.0,30,13
2061,3308697424.243564,2845748732.022104,0.2817387828386409,1.0,30,13
2062,3394435885.219036,2804964867.2344494,0.29884366639716253,1.0,30,13
2063,3293952041.0330195,2593941732.8252754,0.3169870191312898,1.0,30,13
2064,3433852592.5305314,2780627565.546799,0.3362318884289219,1.0,30,13
2065,3441256214.3305626,2755272675.877579,0.3566451494017017,1.0,30,13
2066,3438766360.791143,2619687220.1722445,0.3782977372732178,1.0,30,13
2067,3432319182.456725,2541960107.748292,0.40126489387592296,1.0,30,13
2068,3483886122.7850986,2518552580.8852296,0.4256264291133388,1.0,30,13
2069,3499900848.990208,2460319672.4470687,0.45146699829611486,1.0,30,13
2070,3534974010.92967,2477018935.957643,0.4788763963156736,1.0,30,13
2071,3588896736.4188447,2392972117.171795,0.5079498696776825,1.0,30,13
2072,3619029135.3532887,2273632857.835577,0.5387884474796569,1.0,30,13
2073,3606149440.7260184,2167259457.2756314,0.5714992924828256,1.0,30,13
2074,3642178343.432766,2047235942.8133867,0.6061960734982206,1.0,30,13
2075,3531552297.8446026,1845397287.0507214,0.6429993603810159,1.0,30,13
2076,3576220749.3431377,1715057031.687484,0.6820370430057053,1.0,30,13
2077,3582925362.124013,1526589141.2471566,0.7234447756780386,1.0,30,13
2078,3619992757.0574155,1327780538.3671882,0.7673664485280302,1.0,30,13
2079,3602867334.2244654,1123526271.501953,0.8139546875221118,1.0,30,13
2080,3594284181.295672,887422583.4089427,0.8633713848319472,1.0,30,13
2081,3444436603.178404,568814943.3310988,0.915788261402923,1.0,30,13
2082,3406563415.334184,260331930.41427287,0.9713874636772135,1.0,30,13
2083,3296941229.187525,107426287.77571322,1.0,1.0,30,13
2084,3405584924.0517,110160375.3105108,1.0,1.0,30,13
2085,3500843174.9799805,112150846.48439614,1.0,1.0,30,13
2086,3537462886.134168,116644079.11516754,1.0,1.0,30,13
2087,3501547709.4569645,112330664.47902723,1.0,1.0,30,13
2088,3601882718.8853116,117899796.07017657,1.0,1.0,30,13
2089,3405963187.33745,112531542.9027439,1.0,1.0,30,13
2090,3428689279.8745804,112045396.41509545,1.0,1.0,30,13
2091,3445161086.3615074,110489678.88373974,1.0,1.0,30,13
2092,3577901562.8164825,115544043.48773457,1.0,1.0,30,13
2024,1607705.9712225273,2608495.239763973,0.03182306625664263,0.7316875140962745,30,14
2025,372917284.89346826,304970635.9977767,0.03375510357614345,0.757135272137719,30,14
2026,839990536.5156411,784933594.0943172,0.035804438461310636,0.7834680915979519,30,14
2027,1335068816.2729533,1317964055.402811,0.03797819226470421,0.8107167545094713,30,14
2028,1803460012.9998455,2036666751.842064,0.04028391868939372,0.8389131134898263,30,14
2029,2278408061.0026755,2618058505.87664,0.04272963003775881,0.868090128976078,30,14
2030,2751072111.412879,3172150289.797271,0.045323825053903144,0.8982819077542556,30,14
2031,3109816936.186032,3616549616.5628476,0.04807551845643278,0.9295237428288523,30,14
2032,3533856126.453902,4269979867.5684156,0.05099427226422433,0.9618521546789609,30,14
2033,4025824130.9656925,5004663643.804737,0.0540902290240385,0.9953049339492813,30,14
2034,4361707992.3785515,5268913732.764949,0.05737414705544362,1.0,30,14
2035,4501902651.778719,5571467081.944238,0.06085743783552384,1.0,30,14
2036,4806360458.731437,5925193597.839815,0.06455220565328214,1.0,30,14
2037,5040411296.983926,6334648676.26833,0.0684712896715357,1.0,30,14
2038,5366170892.064815,6946799770.492028,0.07262830854246692,1.0,30,14
2039,5474898059.510549,7074246288.63423,0.07703770773186705,1.0,30,14
2040,5588384965.078626,7123173730.457089,0.08171480971652245,1.0,30,14
2041,5607864172.115972,6949309473.021712,0.08667586722917728,1.0,30,14
2042,5559207385.384367,6997074616.108085,0.09193811973609632,1.0,30,14
2043,5298051471.182108,6403492006.853136,0.09751985334348545,1.0,30,14
2044,5077585064.8939705,6152603136.129603,0.1034404643409418,1.0,30,14
2045,4913359657.655172,5745000938.889172,0.10972052660274466,1.0,30,14
2046,4642489358.603937,5312246201.477656,0.11638186308120346,1.0,30,14
2047,4394069687.300307,5160756180.184329,0.12344762164049955,1.0,30,14
2048,4074058403.006505,4569978708.455632,0.13094235549454095,1.0,30,14
2049,4087426732.0613585,4371905204.665781,0.13889210852834827,1.0,30,14
2050,3944371037.1882463,4029356155.007248,0.14732450579946016,1.0,30,14
2051,3624295494.4165826,3753853157.490654,0.15626884953384682,1.0,30,14
2052,3604122922.224068,3509224068.566646,0.1657562209499129,1.0,30,14
2053,3479236723.16514,3289389923.9722567,0.17581958826442518,1.0,30,14
2054,3428622003.846641,3178013185.1015735,0.18649392125567904,1.0,30,14
2055,3311433820.8822646,3170424340.7469144,0.1978163127820081,1.0,30,14
2056,3332389204.234043,3016886955.265234,0.20982610767790724,1.0,30,14
2057,3126501779.992121,2757574272.157649,0.22256503947567807,1.0,30,14
2058,3096966468.4628067,2668382586.579511,0.23607737542769922,1.0,30,14
2059,3130171049.4892564,2694566545.194805,0.2504100703332668,1.0,30,14
2060,3224641716.500441,2631781109.109759,0.26561292970454775,1.0,30,14
2061,3230763442.601049,2629824162.695127,0.2817387828386409,1.0,30,14
2062,3243868878.139102,2547990603.7791123,0.29884366639716253,1.0,30,14
2063,3387821200.9505253,2667954165.763099,0.3169870191312898,1.0,30,14
2064,3360444341.717943,2630525915.8124194,0.3362318884289219,1.0,30,14
2065,3386486848.1636186,2603333649.8051276,0.3566451494017017,1.0,30,14
