year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2056,800,2095771440.2386415,3955166442.6798925,8091439754.277266,4360115018.5158415,5995668314.038624,1.5159079651717902,2.045789948802956,0.5298819836311655
2057,800,2087554728.8030581,3998169526.142623,7908065635.148701,4339813601.228574,5820510906.345642,1.455793924766664,1.9779215422059129,0.5221276174392488
2058,800,2093067422.9653141,4032041924.6988635,7734605574.5996275,4338742154.840774,5641538151.634314,1.3991764612059823,1.9182850077079228,0.5191085465019406
2059,800,2132307620.9465833,4054125717.524399,7464890800.542124,4340576877.729792,5332583179.595541,1.3153472662539474,1.8413071820329405,0.5259599157789933
2060,800,2154696007.533925,4089906519.230238,7605523867.605314,4340557175.534995,5450827860.071389,1.3327512094572984,1.8595837904473063,0.5268325809900077
2061,800,2216272878.7685137,4145796377.229495,7283815424.297602,4365128342.818827,5067542545.529088,1.2223327159438464,1.7569158640553268,0.5345831481114803
2062,800,2243891106.0424204,4163020740.8770223,7000862348.994296,4387810379.314949,4756971242.951876,1.1426729625060013,1.6816784697352785,0.5390055072292771
2063,800,2274271585.672669,4221886732.9163017,7098831015.784167,4412197044.798589,4824559430.111498,1.1427496129861578,1.6814356861915605,0.5386860732054026
2064,800,2327977406.2839727,4255873735.136753,7078360959.079149,4433465017.800261,4750383552.7951765,1.1161946637598104,1.6631980645101778,0.5470034007503675
2065,800,2357271064.6909103,4302725597.722407,7173136102.181988,4464456460.581595,4815865037.491077,1.1192591598312227,1.6671144694839466,0.5478553096527238
2066,800,2427271325.1247973,4343194736.745981,7326524434.067372,4481555392.258627,4899253108.942575,1.1280298043032733,1.686897520868836,0.5588677165655629
2067,800,2450468701.246949,4408372234.65012,7204463300.844591,4516380488.915942,4753994599.597642,1.0784013569069566,1.6342683687681807,0.5558670118612241
2068,800,2497411750.8303103,4428250618.158527,7253615987.957523,4557301217.466758,4756204237.127213,1.0740594079350152,1.6380319483755674,0.5639725404405522
2069,800,2556480739.112541,4486601926.011868,7255882925.707896,4600857181.927561,4699402186.595355,1.0474301629814182,1.617233497725892,0.5698033347444739
2070,800,2580719751.2585726,4513381228.640567,7241782000.568455,4640811292.33761,4661062249.309882,1.032720706093289,1.604513696874147,0.5717929907808579
2071,800,2641538750.5266876,4482971404.326744,7291280755.298532,4695950250.948909,4649742004.771844,1.0372009065871224,1.6264392737953548,0.5892383672082324
2072,800,2689154086.6550593,4597983153.608058,7343314931.707208,4755530487.164626,4654160845.052149,1.0122178984931705,1.5970730397184851,0.5848551412253149
2073,800,2753535270.3168325,4674743062.845453,7295600184.243057,4817826146.851213,4542064913.926225,0.9716180874252223,1.5606419617428822,0.5890238743176599
2074,800,2779357432.3140173,4721269809.711245,7460789983.234483,4867140245.113689,4681432550.920465,0.9915621728059605,1.5802507130366246,0.588688540230664
2075,800,2803914847.89477,4767474033.816301,7518225356.75439,4923732935.909447,4714310508.859619,0.9888487017276683,1.5769829690579662,0.5881342673302978
2076,800,2869749106.08407,4821991445.351072,7479658679.890422,4975082174.290536,4609909573.806352,0.9560177835343961,1.551155526644833,0.5951377431104368
2077,800,2906354891.777726,4862308929.603371,7424712976.814686,5018976950.677574,4518358085.03696,0.9292618281672061,1.5269932627296752,0.597731434562469
2078,800,2972698020.563799,4907509692.910859,7801870901.063612,5054575070.94827,4829172880.499813,0.9840373596155689,1.5897820665201743,0.6057447069046055
2079,800,2998826550.307524,4959109068.877892,7678404441.975072,5095474020.047864,4679577891.667547,0.9436327829600258,1.548343530123745,0.6047107471637189
2080,800,3049998603.3814383,4977478391.212107,7797733832.512305,5118277442.445936,4747735229.130867,0.95384346369301,1.5666032516142003,0.6127597879211903
2081,800,3075446896.0973454,4989256082.988253,7918591929.869684,5138311660.7459545,4843145033.772339,0.9707148627399373,1.5871287819579993,0.616413919218062
2082,800,3068211360.6793613,5028396641.058355,7834981007.972776,5148988019.0261755,4766769647.293415,0.9479700961478102,1.5581469735298572,0.6101768773820471
2083,800,3119658216.3068504,5054342552.708185,7904167095.089577,5151730080.37811,4784508878.782726,0.9466134969857003,1.5638368418172244,0.6172233448315242
2084,800,3129747729.5474377,5039031394.404907,8053587899.165032,5159748802.55718,4923840169.617595,0.9771402049776441,1.59824126281637,0.6211010578387258
2085,800,3173070262.2346807,5101046779.79228,8015459159.844369,5167157356.463587,4842388897.609688,0.9492931758228014,1.5713361405736346,0.6220429647508332
2086,800,3196982816.6118937,5055929464.29833,8160376890.04789,5165984897.520032,4963394073.435996,0.9816976499542253,1.6140211107910303,0.632323460836805
2087,800,3188763803.7348304,5089388891.240579,8000857782.493806,5156516813.521281,4812093978.758976,0.9455150867014979,1.5720665002165974,0.6265514135150997
2088,800,3202739941.962237,5015664519.547932,8085317945.166753,5148931621.06472,4882578003.204515,0.9734658257495636,1.612013306243914,0.6385474804943502
2089,800,3216775721.9150677,5030030370.980402,8060399515.3000765,5131443854.181591,4843623793.385009,0.962941262010897,1.6024554368106183,0.6395141747997213
2090,800,3228877394.660198,4979209421.04615,8147625293.13912,5124936273.087248,4918747898.478922,0.9878572043361604,1.6363291045162094,0.6484719001800489
2091,800,3218184137.0544043,4983107025.508604,8066352225.921222,5116521934.884153,4848168088.866817,0.9729207227637231,1.6187395102351678,0.6458187874714447
2092,800,3212595310.588186,5023569862.06234,8277698337.363726,5103859176.19354,5065103026.775539,1.0082676594241986,1.6477721151797537,0.6395044557555551
