region,scenario,mc_runs,active_layers,year,metric,p05,p50,p95,width,width_over_median,interpretation_boundary_year,elapsed_sec
ohio,L2_only,150,L2,2050,ATS Emissions (kg CO2),832186278.0080796,1318237715.5397599,2260626579.5498366,1428440301.541757,1.0835984168127628,,0.72
ohio,L2_only,150,L2,2075,ATS Emissions (kg CO2),1159759513.7564487,1925940640.0581477,3682043629.644503,2522284115.8880544,1.309637516040942,,0.72
ohio,L3_only,150,L3,2030,ATS Emissions (kg CO2),760515987.8841919,1257958768.885505,1861320013.8806386,1100804025.9964466,0.8750716265301045,2079.0,0.71
ohio,L3_only,150,L3,2050,ATS Emissions (kg CO2),1008690868.3186017,1578792707.0932174,2555310648.2302084,1546619779.9116068,0.9796218166976173,2079.0,0.71
ohio,L3_only,150,L3,2075,ATS Emissions (kg CO2),911815663.7806327,2090668856.2853122,3150704018.5934973,2238888354.8128643,1.0708957318046568,2079.0,0.71
ohio,L1_L2,150,L1;L2,2030,ATS Emissions (kg CO2),633925244.3470615,1090503599.8389516,1922475691.224962,1288550446.8779006,1.1816104477492757,2076.0,0.73
ohio,L1_L2,150,L1;L2,2050,ATS Emissions (kg CO2),824105513.6898353,1364680746.8488696,2238544137.9960623,1414438624.306227,1.0364611852055885,2076.0,0.73
ohio,L1_L2,150,L1;L2,2075,ATS Emissions (kg CO2),861231121.6387148,2044625466.1654315,3858327592.19656,2997096470.557845,1.4658413094006473,2076.0,0.73
ohio,L1_L3,150,L1;L3,2030,ATS Emissions (kg CO2),842136134.2342331,1204942910.1383224,1817631677.4674873,975495543.2332542,0.8095782256781539,2084.0,0.71
ohio,L1_L3,150,L1;L3,2050,ATS Emissions (kg CO2),1079053296.4272969,1558925399.0858054,2755414768.959701,1676361472.5324042,1.0753314260678968,2084.0,0.71
ohio,L1_L3,150,L1;L3,2075,ATS Emissions (kg CO2),820823245.7039974,2445018232.55069,3523579439.6171117,2702756193.9131145,1.1054135130491634,2084.0,0.71
ohio,L2_L3,150,L2;L3,2030,ATS Emissions (kg CO2),620000992.1153125,1178562826.9216874,2329917106.8250737,1709916114.7097611,1.4508485043397528,2031.0,0.74
ohio,L2_L3,150,L2;L3,2050,ATS Emissions (kg CO2),806041087.1196795,1589202527.3366346,3098513047.6920075,2292471960.572328,1.4425297727246331,2031.0,0.74
ohio,L2_L3,150,L2;L3,2075,ATS Emissions (kg CO2),638744388.8242815,1904056910.9730048,4161559335.507847,3522814946.683565,1.850162632420135,2031.0,0.74
ohio,all_free_L1_L2_L3,150,L1;L2;L3,2030,ATS Emissions (kg CO2),603347306.6903384,1146345859.5595746,2293093339.2224064,1689746032.532068,1.4740281202579364,2031.0,0.73
ohio,all_free_L1_L2_L3,150,L1;L2;L3,2050,ATS Emissions (kg CO2),768938112.8761381,1524501045.19795,3374635591.280772,2605697478.404634,1.7092133105532212,2031.0,0.73
ohio,all_free_L1_L2_L3,150,L1;L2;L3,2075,ATS Emissions (kg CO2),211248777.52806213,1945182863.0473661,4269299331.1106286,4058050553.5825663,2.0862051741629757,2031.0,0.73
ohio,L2_only_scale_factors_only,150,L2_scalefactors_only,2030,ATS Emissions (kg CO2),828597151.3602113,1154992616.0683641,1607026464.0549507,778429312.6947395,0.6739690815899243,,0.71
ohio,L2_only_scale_factors_only,150,L2_scalefactors_only,2050,ATS Emissions (kg CO2),916215189.3640547,1368764670.7185826,1985073613.6712441,1068858424.3071895,0.7808927620451027,,0.71
ohio,L2_only_scale_factors_only,150,L2_scalefactors_only,2075,ATS Emissions (kg CO2),1290173295.2485902,2093826310.592589,3246841298.2251287,1956668002.9765384,0.934493942060919,,0.71
ohio,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2030,ATS Emissions (kg CO2),857259099.3728694,1189446616.038484,1572290887.1519735,715031787.7791041,0.6011465988785238,,0.71
ohio,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2050,ATS Emissions (kg CO2),1006094643.9836943,1418003484.8215318,1898374959.8800557,892280315.8963614,0.6292511446180703,,0.71
ohio,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2075,ATS Emissions (kg CO2),1554602371.5152373,2205666812.4396257,2965859618.9050665,1411257247.3898292,0.6398324712647226,,0.71
ohio,L3_only_growth_exponents_only,150,L3_growthexponents_only,2030,ATS Emissions (kg CO2),874147745.7728809,1270127211.87534,1608464603.478014,734316857.7051331,0.57814433927521,2087.0,0.7
ohio,L3_only_growth_exponents_only,150,L3_growthexponents_only,2050,ATS Emissions (kg CO2),1205465080.7951155,1518861220.9193563,2426880708.2374454,1221415627.44233,0.8041653908992523,2087.0,0.7
ohio,L3_only_growth_exponents_only,150,L3_growthexponents_only,2075,ATS Emissions (kg CO2),821971895.5303286,2241898492.308464,2597179875.00717,1775207979.4768414,0.7918324516329571,2087.0,0.7
